
RUN = 351
subRunNo MAX = 1033
L1 count MAX = 330
TOTAL ENTRIES = 25448176
12463 18 11
12486 41 11
12502 57 11
12506 61 11
12555 110 11
12563 118 11
12584 139 11
12642 197 11
12686 241 11
12688 243 11
12728 283 11
12770 325 11
12822 377 11
12852 407 11
12858 413 11
12875 430 11
12906 461 11
12940 495 11
12947 502 11
12983 538 11
12994 549 11
13006 561 11
13026 581 11
13056 611 11
13077 632 11
13112 667 11
13118 673 11
13136 691 11
13163 718 11
13176 731 11
13193 748 11
13195 750 11
13206 761 11
13215 770 11
13225 780 11
13255 810 11
13369 924 11
13380 935 11
13401 956 11
13405 960 11
13409 964 11
13500 18 12
13523 41 12
13539 57 12
13543 61 12
13592 110 12
13600 118 12
13621 139 12
13679 197 12
13723 241 12
13725 243 12
13747 265 12
13763 281 12
13765 283 12
13792 310 12
13807 325 12
13859 377 12
13889 407 12
13895 413 12
13912 430 12
13943 461 12
13977 495 12
13984 502 12
14020 538 12
14031 549 12
14043 561 12
14063 581 12
14093 611 12
14114 632 12
14149 667 12
14151 669 12
14155 673 12
14173 691 12
14200 718 12
14213 731 12
14230 748 12
14232 750 12
14243 761 12
14252 770 12
14262 780 12
14292 810 12
14406 924 12
14417 935 12
14438 956 12
14442 960 12
14446 964 12
14478 996 12
14537 18 13
14560 41 13
14576 57 13
14580 61 13
14629 110 13
14637 118 13
14716 197 13
14760 241 13
14762 243 13
14784 265 13
14800 281 13
14802 283 13
14829 310 13
14844 325 13
14896 377 13
14926 407 13
14932 413 13
14949 430 13
14980 461 13
15014 495 13
15021 502 13
15057 538 13
15068 549 13
15080 561 13
15100 581 13
15130 611 13
15151 632 13
15186 667 13
15188 669 13
15192 673 13
15210 691 13
15237 718 13
15250 731 13
15267 748 13
15269 750 13
15280 761 13
15289 770 13
15299 780 13
15454 935 13
15475 956 13
15479 960 13
15483 964 13
15515 996 13
15574 18 14
15597 41 14
15613 57 14
15617 61 14
15666 110 14
15674 118 14
15695 139 14
15753 197 14
15797 241 14
15799 243 14
15821 265 14
15837 281 14
15839 283 14
15866 310 14
15881 325 14
15933 377 14
15963 407 14
15969 413 14
15986 430 14
16017 461 14
16051 495 14
16058 502 14
16094 538 14
16105 549 14
16117 561 14
16137 581 14
16167 611 14
16188 632 14
16223 667 14
16225 669 14
16229 673 14
16247 691 14
16274 718 14
16287 731 14
16304 748 14
16306 750 14
16317 761 14
16326 770 14
16336 780 14
16366 810 14
16480 924 14
16491 935 14
16512 956 14
16516 960 14
16520 964 14
16552 996 14
16611 18 15
16634 41 15
16650 57 15
16654 61 15
16703 110 15
16711 118 15
16732 139 15
16790 197 15
16834 241 15
16836 243 15
16858 265 15
16874 281 15
16876 283 15
16903 310 15
16918 325 15
16970 377 15
17000 407 15
17006 413 15
17023 430 15
17054 461 15
17088 495 15
17095 502 15
17131 538 15
17142 549 15
17154 561 15
17174 581 15
17204 611 15
17225 632 15
17260 667 15
17262 669 15
17266 673 15
17284 691 15
17311 718 15
17324 731 15
17341 748 15
17343 750 15
17354 761 15
17363 770 15
17373 780 15
17403 810 15
17517 924 15
17528 935 15
17549 956 15
17553 960 15
17557 964 15
17589 996 15
17648 18 16
17671 41 16
17687 57 16
17691 61 16
17740 110 16
17748 118 16
17769 139 16
17827 197 16
17871 241 16
17873 243 16
17913 283 16
17955 325 16
18007 377 16
18037 407 16
18043 413 16
18060 430 16
18091 461 16
18125 495 16
18132 502 16
18168 538 16
18179 549 16
18191 561 16
18211 581 16
18241 611 16
18262 632 16
18297 667 16
18303 673 16
18321 691 16
18348 718 16
18361 731 16
18378 748 16
18380 750 16
18391 761 16
18400 770 16
18410 780 16
18440 810 16
18554 924 16
18565 935 16
18586 956 16
18590 960 16
18594 964 16
18626 996 16
18685 18 17
18708 41 17
18724 57 17
18728 61 17
18777 110 17
18785 118 17
18864 197 17
18908 241 17
18910 243 17
18950 283 17
18992 325 17
19074 407 17
19080 413 17
19097 430 17
19128 461 17
19162 495 17
19169 502 17
19205 538 17
19216 549 17
19228 561 17
19248 581 17
19278 611 17
19299 632 17
19340 673 17
19358 691 17
19385 718 17
19398 731 17
19415 748 17
19417 750 17
19428 761 17
19437 770 17
19447 780 17
19602 935 17
19623 956 17
19627 960 17
19631 964 17
19663 996 17
19722 18 18
19745 41 18
19761 57 18
19765 61 18
19814 110 18
19822 118 18
19901 197 18
19945 241 18
19947 243 18
19987 283 18
20029 325 18
20081 377 18
20111 407 18
20117 413 18
20134 430 18
20165 461 18
20199 495 18
20206 502 18
20242 538 18
20253 549 18
20265 561 18
20285 581 18
20315 611 18
20336 632 18
20371 667 18
20377 673 18
20395 691 18
20422 718 18
20435 731 18
20452 748 18
20454 750 18
20465 761 18
20474 770 18
20484 780 18
20628 924 18
20639 935 18
20660 956 18
20664 960 18
20668 964 18
20700 996 18
20759 18 19
20782 41 19
20798 57 19
20802 61 19
20851 110 19
20859 118 19
20938 197 19
20982 241 19
20984 243 19
21024 283 19
21066 325 19
21118 377 19
21148 407 19
21154 413 19
21171 430 19
21202 461 19
21236 495 19
21243 502 19
21279 538 19
21290 549 19
21302 561 19
21322 581 19
21352 611 19
21373 632 19
21408 667 19
21414 673 19
21432 691 19
21459 718 19
21472 731 19
21489 748 19
21491 750 19
21502 761 19
21511 770 19
21521 780 19
21676 935 19
21697 956 19
21701 960 19
21705 964 19
21796 18 20
21819 41 20
21835 57 20
21839 61 20
21888 110 20
21896 118 20
21917 139 20
21975 197 20
22019 241 20
22021 243 20
22061 283 20
22103 325 20
22155 377 20
22185 407 20
22191 413 20
22208 430 20
22239 461 20
22273 495 20
22280 502 20
22316 538 20
22327 549 20
22339 561 20
22359 581 20
22389 611 20
22410 632 20
22445 667 20
22451 673 20
22469 691 20
22496 718 20
22509 731 20
22526 748 20
22528 750 20
22539 761 20
22548 770 20
22558 780 20
22588 810 20
22702 924 20
22713 935 20
22734 956 20
22738 960 20
22742 964 20
22833 18 21
22856 41 21
22872 57 21
22876 61 21
22925 110 21
22933 118 21
23012 197 21
23056 241 21
23058 243 21
23098 283 21
23140 325 21
23192 377 21
23222 407 21
23228 413 21
23245 430 21
23276 461 21
23310 495 21
23317 502 21
23353 538 21
23364 549 21
23376 561 21
23396 581 21
23426 611 21
23447 632 21
23482 667 21
23488 673 21
23506 691 21
23533 718 21
23546 731 21
23563 748 21
23565 750 21
23576 761 21
23585 770 21
23595 780 21
23739 924 21
23750 935 21
23771 956 21
23775 960 21
23779 964 21
23870 18 22
23893 41 22
23909 57 22
23913 61 22
23962 110 22
23970 118 22
23991 139 22
24049 197 22
24093 241 22
24095 243 22
24135 283 22
24177 325 22
24229 377 22
24259 407 22
24265 413 22
24282 430 22
24313 461 22
24347 495 22
24354 502 22
24390 538 22
24401 549 22
24413 561 22
24433 581 22
24463 611 22
24484 632 22
24519 667 22
24525 673 22
24543 691 22
24570 718 22
24583 731 22
24600 748 22
24602 750 22
24613 761 22
24622 770 22
24632 780 22
24662 810 22
24776 924 22
24787 935 22
24808 956 22
24812 960 22
24816 964 22
24907 18 23
24930 41 23
24946 57 23
24950 61 23
24999 110 23
25007 118 23
25086 197 23
25130 241 23
25132 243 23
25172 283 23
25214 325 23
25266 377 23
25296 407 23
25302 413 23
25319 430 23
25350 461 23
25384 495 23
25391 502 23
25427 538 23
25438 549 23
25450 561 23
25470 581 23
25500 611 23
25521 632 23
25556 667 23
25562 673 23
25580 691 23
25607 718 23
25620 731 23
25637 748 23
25639 750 23
25650 761 23
25659 770 23
25669 780 23
25813 924 23
25824 935 23
25845 956 23
25849 960 23
25853 964 23
25944 18 24
25967 41 24
25983 57 24
25987 61 24
26036 110 24
26044 118 24
26123 197 24
26167 241 24
26169 243 24
26209 283 24
26251 325 24
26303 377 24
26333 407 24
26339 413 24
26356 430 24
26387 461 24
26421 495 24
26428 502 24
26464 538 24
26475 549 24
26487 561 24
26507 581 24
26537 611 24
26558 632 24
26599 673 24
26617 691 24
26644 718 24
26657 731 24
26674 748 24
26676 750 24
26687 761 24
26696 770 24
26706 780 24
26850 924 24
26861 935 24
26882 956 24
26886 960 24
26890 964 24
26922 996 24
26981 18 25
27004 41 25
27020 57 25
27024 61 25
27073 110 25
27081 118 25
27160 197 25
27204 241 25
27206 243 25
27246 283 25
27288 325 25
27340 377 25
27370 407 25
27376 413 25
27393 430 25
27424 461 25
27458 495 25
27465 502 25
27501 538 25
27512 549 25
27524 561 25
27544 581 25
27574 611 25
27595 632 25
27636 673 25
27654 691 25
27681 718 25
27694 731 25
27711 748 25
27713 750 25
27724 761 25
27733 770 25
27743 780 25
27887 924 25
27898 935 25
27919 956 25
27923 960 25
27927 964 25
28018 18 26
28041 41 26
28057 57 26
28061 61 26
28110 110 26
28118 118 26
28197 197 26
28241 241 26
28243 243 26
28283 283 26
28325 325 26
28377 377 26
28407 407 26
28413 413 26
28430 430 26
28461 461 26
28495 495 26
28502 502 26
28538 538 26
28549 549 26
28561 561 26
28581 581 26
28611 611 26
28632 632 26
28673 673 26
28691 691 26
28718 718 26
28731 731 26
28748 748 26
28750 750 26
28761 761 26
28770 770 26
28780 780 26
28810 810 26
28935 935 26
28956 956 26
28960 960 26
28964 964 26
29055 18 27
29078 41 27
29094 57 27
29098 61 27
29147 110 27
29155 118 27
29234 197 27
29278 241 27
29280 243 27
29320 283 27
29362 325 27
29414 377 27
29444 407 27
29450 413 27
29467 430 27
29498 461 27
29532 495 27
29539 502 27
29575 538 27
29586 549 27
29598 561 27
29618 581 27
29648 611 27
29669 632 27
29704 667 27
29710 673 27
29728 691 27
29755 718 27
29768 731 27
29785 748 27
29787 750 27
29798 761 27
29807 770 27
29817 780 27
29847 810 27
29961 924 27
29972 935 27
29993 956 27
29997 960 27
30001 964 27
30092 18 28
30106 32 28
30115 41 28
30131 57 28
30135 61 28
30184 110 28
30192 118 28
30213 139 28
30232 158 28
30271 197 28
30315 241 28
30317 243 28
30357 283 28
30399 325 28
30451 377 28
30468 394 28
30481 407 28
30487 413 28
30497 423 28
30504 430 28
30535 461 28
30569 495 28
30576 502 28
30612 538 28
30623 549 28
30635 561 28
30645 571 28
30655 581 28
30685 611 28
30706 632 28
30741 667 28
30747 673 28
30765 691 28
30792 718 28
30805 731 28
30822 748 28
30824 750 28
30835 761 28
30844 770 28
30854 780 28
30884 810 28
31009 935 28
31030 956 28
31034 960 28
31038 964 28
31070 996 28
31129 18 29
31143 32 29
31152 41 29
31168 57 29
31172 61 29
31221 110 29
31229 118 29
31250 139 29
31269 158 29
31308 197 29
31352 241 29
31354 243 29
31394 283 29
31436 325 29
31488 377 29
31505 394 29
31518 407 29
31524 413 29
31534 423 29
31541 430 29
31572 461 29
31606 495 29
31613 502 29
31649 538 29
31660 549 29
31672 561 29
31682 571 29
31692 581 29
31722 611 29
31743 632 29
31778 667 29
31784 673 29
31802 691 29
31829 718 29
31842 731 29
31859 748 29
31861 750 29
31872 761 29
31881 770 29
31891 780 29
31921 810 29
32035 924 29
32046 935 29
32067 956 29
32071 960 29
32075 964 29
32107 996 29
32166 18 30
32180 32 30
32189 41 30
32205 57 30
32209 61 30
32258 110 30
32266 118 30
32287 139 30
32306 158 30
32345 197 30
32389 241 30
32391 243 30
32431 283 30
32473 325 30
32525 377 30
32542 394 30
32555 407 30
32561 413 30
32571 423 30
32578 430 30
32609 461 30
32643 495 30
32650 502 30
32686 538 30
32697 549 30
32709 561 30
32719 571 30
32729 581 30
32759 611 30
32780 632 30
32815 667 30
32821 673 30
32839 691 30
32866 718 30
32879 731 30
32896 748 30
32898 750 30
32909 761 30
32918 770 30
32928 780 30
32958 810 30
33083 935 30
33104 956 30
33108 960 30
33112 964 30
33144 996 30
33203 18 31
33217 32 31
33226 41 31
33242 57 31
33246 61 31
33295 110 31
33303 118 31
33343 158 31
33382 197 31
33426 241 31
33428 243 31
33468 283 31
33510 325 31
33562 377 31
33579 394 31
33592 407 31
33598 413 31
33608 423 31
33615 430 31
33646 461 31
33680 495 31
33687 502 31
33723 538 31
33734 549 31
33746 561 31
33756 571 31
33766 581 31
33796 611 31
33817 632 31
33852 667 31
33858 673 31
33876 691 31
33903 718 31
33916 731 31
33933 748 31
33935 750 31
33946 761 31
33955 770 31
33965 780 31
34120 935 31
34141 956 31
34145 960 31
34149 964 31
34240 18 32
34263 41 32
34279 57 32
34283 61 32
34332 110 32
34340 118 32
34361 139 32
34419 197 32
34463 241 32
34465 243 32
34505 283 32
34547 325 32
34599 377 32
34617 395 32
34629 407 32
34635 413 32
34652 430 32
34683 461 32
34717 495 32
34724 502 32
34760 538 32
34771 549 32
34783 561 32
34803 581 32
34833 611 32
34854 632 32
34889 667 32
34895 673 32
34913 691 32
34940 718 32
34953 731 32
34970 748 32
34972 750 32
34983 761 32
34992 770 32
35002 780 32
35157 935 32
35178 956 32
35182 960 32
35186 964 32
35277 18 33
35300 41 33
35316 57 33
35320 61 33
35369 110 33
35377 118 33
35398 139 33
35456 197 33
35500 241 33
35502 243 33
35542 283 33
35584 325 33
35636 377 33
35640 381 33
35654 395 33
35666 407 33
35672 413 33
35689 430 33
35720 461 33
