1100000000000000000000000000000000000110000010100101000111011001  HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000006 HitCount: 0A LOCAL L1 TIMESTAMP: 51D9; Diff w.r.t. previous L1_TS: 130.956250 us
0001111011010010010011000101110000000111011000110010110100100001  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1405 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 52 tacID: 2 Tcoarse: 4C5C Ecoarse: 076 Tfine: 0203 Efine: 289 
0001111010100001010011000111000100001000101101010101100110000011  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1384 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 40 tacID: 1 Tcoarse: 4C71 Ecoarse: 08B Tfine: 0342 Efine: 387 
0001111011101011010011000110001100000111110101000100010101111100  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1398 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 58 tacID: 3 Tcoarse: 4C63 Ecoarse: 07D Tfine: 0273 Efine: 380 
0001111010111011010011000110011000001000000000111111000110110110  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1395 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 46 tacID: 3 Tcoarse: 4C66 Ecoarse: 080 Tfine: 0252 Efine: 438 
0001111011100001010011000101110000000111011001000000011000000011  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1405 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 56 tacID: 1 Tcoarse: 4C5C Ecoarse: 076 Tfine: 0257 Efine: 515 
0001111011001011010011000101101100000111010110001010100100011010  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1406 LAST TIGER FRAME NUM[2:0]: 6 TIGER DATA: ChID [base10]: 50 tacID: 3 Tcoarse: 4C5B Ecoarse: 075 Tfine: 0554 Efine: 282 
0010100101000010101011101011101100101101010100111010100011111100  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23778 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 16 tacID: 2 Tcoarse: AEBB Ecoarse: 2D5 Tfine: 0234 Efine: 252 
0010100101010001101011101011101000101101001101001010100000110100  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23777 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 20 tacID: 1 Tcoarse: AEBA Ecoarse: 2D3 Tfine: 0298 Efine: 52 
0010100111001101101011101011101100101101010100101011100110010001  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23778 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 51 tacID: 1 Tcoarse: AEBB Ecoarse: 2D5 Tfine: 0174 Efine: 401 
0010100101110011101011101100001000101101110000101111110111100010  DATA   : TIGER: 5 L1_TS - TIGERCOARSE_TS: -23785 LAST TIGER FRAME NUM[2:0]: 1 TIGER DATA: ChID [base10]: 28 tacID: 3 Tcoarse: AEC2 Ecoarse: 2DC Tfine: 0191 Efine: 482 
1110000000001010110110110000011000111101000000000000000000000000  TRAILER: LOCAL L1  FRAMENUM [23:0]: 0056D8: GEMROC_ID: 06 TIGER_ID: 7 LOCAL L1 COUNT[2:0]: 5 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
0100100001100000000000000000000010100000000000000000000000000110  UDP_SEQNO: GEMROC_ID: 06 UDP_SEQNO_U48: 000000000006  STATUS BIT[5:3]:4

