1100000000000000000000000000000000000111000101001111111001111100  HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000007 HitCount: 14 LOCAL L1 TIMESTAMP: FE7C; Diff w.r.t. previous L1_TS: 407.175000 us
0000001100110100111110001010010100001011111100101101110111010010  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1495 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 13 tacID: 0 Tcoarse: F8A5 Ecoarse: 0BF Tfine: 0183 Efine: 466 
0000001111000010111110010001010000010010111000100101000110001000  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1384 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 48 tacID: 2 Tcoarse: F914 Ecoarse: 12E Tfine: 0148 Efine: 392 
0000001101000001111110010000001100010001110100101000100110111101  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1401 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 16 tacID: 1 Tcoarse: F903 Ecoarse: 11D Tfine: 0162 Efine: 445 
0000001110101001111110010001101000010011010001000011110110111100  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1378 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 42 tacID: 1 Tcoarse: F91A Ecoarse: 134 Tfine: 0271 Efine: 444 
0000001100001011111110010000001000010001110000110110010111011001  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1402 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 2 tacID: 3 Tcoarse: F902 Ecoarse: 11C Tfine: 0217 Efine: 473 
0000001101100111111110010010111100010100100101001101110110111100  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1357 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 25 tacID: 3 Tcoarse: F92F Ecoarse: 149 Tfine: 0311 Efine: 444 
0000001101010011111110010010101000010100010001000011100111010000  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1362 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 20 tacID: 3 Tcoarse: F92A Ecoarse: 144 Tfine: 0270 Efine: 464 
0000001101110110111110010000100100010010001100101101100111001100  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1395 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 29 tacID: 2 Tcoarse: F909 Ecoarse: 123 Tfine: 0182 Efine: 460 
0000001100010011111110010011011000010101000000111110100111011111  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1350 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 4 tacID: 3 Tcoarse: F936 Ecoarse: 150 Tfine: 0250 Efine: 479 
0000001111110011111110010000111000010010100001000110010111100110  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1390 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 60 tacID: 3 Tcoarse: F90E Ecoarse: 128 Tfine: 0281 Efine: 486 
0000001100100010111110010001110100010011011100110001101000011000  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1375 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 8 tacID: 2 Tcoarse: F91D Ecoarse: 137 Tfine: 0198 Efine: 536 
0000001101010100111110010000111000010010100001000000100111010001  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1390 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 21 tacID: 0 Tcoarse: F90E Ecoarse: 128 Tfine: 0258 Efine: 465 
0000001100111110111110010011011000010101000000101011110111001000  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1350 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 15 tacID: 2 Tcoarse: F936 Ecoarse: 150 Tfine: 0175 Efine: 456 
0000001110011111111110010000110100010010011100100100010111001111  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1391 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 39 tacID: 3 Tcoarse: F90D Ecoarse: 127 Tfine: 0145 Efine: 463 
0000001100110101111110010000101000010010010001000000110111001101  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1394 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 13 tacID: 1 Tcoarse: F90A Ecoarse: 124 Tfine: 0259 Efine: 461 
0000001101110111111110010101011100010111000101000111000111010101  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1317 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 29 tacID: 3 Tcoarse: F957 Ecoarse: 171 Tfine: 0284 Efine: 469 
0010010101101110100011111111100100000001001100101101110110001110  DATA   : TIGER: 4 L1_TS - TIGERCOARSE_TS: 28291 LAST TIGER FRAME NUM[2:0]: 5 TIGER DATA: ChID [base10]: 27 tacID: 2 Tcoarse: 8FF9 Ecoarse: 013 Tfine: 0183 Efine: 398 
0010010100111000100100001010110000001100011001000111110101101001  DATA   : TIGER: 4 L1_TS - TIGERCOARSE_TS: 28112 LAST TIGER FRAME NUM[2:0]: 5 TIGER DATA: ChID [base10]: 14 tacID: 0 Tcoarse: 90AC Ecoarse: 0C6 Tfine: 0287 Efine: 361 
0010010111100001100100001100010100001101111100111111000111000000  DATA   : TIGER: 4 L1_TS - TIGERCOARSE_TS: 28087 LAST TIGER FRAME NUM[2:0]: 5 TIGER DATA: ChID [base10]: 56 tacID: 1 Tcoarse: 90C5 Ecoarse: 0DF Tfine: 0252 Efine: 448 
0010010110110000100100000010010000000011111001001000110111000100  DATA   : TIGER: 4 L1_TS - TIGERCOARSE_TS: 28248 LAST TIGER FRAME NUM[2:0]: 5 TIGER DATA: ChID [base10]: 44 tacID: 0 Tcoarse: 9024 Ecoarse: 03E Tfine: 0291 Efine: 452 
1110000000001110100101100100011100110110000000000000000000000000  TRAILER: LOCAL L1  FRAMENUM [23:0]: 0074B2: GEMROC_ID: 07 TIGER_ID: 6 LOCAL L1 COUNT[2:0]: 6 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
0100100001110000000000000000000010100000000000000000000000000111  UDP_SEQNO: GEMROC_ID: 07 UDP_SEQNO_U48: 000000000007  STATUS BIT[5:3]:4

