1100000000000000000000000000000000000111000101101111111001111100  HEADER :  STATUS BIT[2:0]: 0: LOCAL L1 COUNT: 00000007 HitCount: 16 LOCAL L1 TIMESTAMP: FE7C; Diff w.r.t. previous L1_TS: 407.175000 us
0000001100111001111110001111110100010001011100101110000011000001  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1407 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 14 tacID: 1 Tcoarse: F8FD Ecoarse: 117 Tfine: 0184 Efine: 193 
0000001101111001111110010000011000010010000000101110000100110101  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1398 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 30 tacID: 1 Tcoarse: F906 Ecoarse: 120 Tfine: 0184 Efine: 309 
0000001110011000111110010000100000010010001000111101100111010010  DATA   : TIGER: 0 L1_TS - TIGERCOARSE_TS: 1396 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 38 tacID: 0 Tcoarse: F908 Ecoarse: 122 Tfine: 0246 Efine: 466 
0001101111100001111110010011000000010100101000111101011000010010  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1356 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 56 tacID: 1 Tcoarse: F930 Ecoarse: 14A Tfine: 0245 Efine: 530 
0001101110111100111110010101100000010111000101010000011000001101  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1316 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 47 tacID: 0 Tcoarse: F958 Ecoarse: 171 Tfine: 0321 Efine: 525 
0001101100111000111110010100110000010110011000111101011000100000  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1328 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 14 tacID: 0 Tcoarse: F94C Ecoarse: 166 Tfine: 0245 Efine: 544 
0001101110010111111110010101011000010111000001001001111000010000  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1318 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 37 tacID: 3 Tcoarse: F956 Ecoarse: 170 Tfine: 0295 Efine: 528 
0001101101011100111110010100111000010110100001000110001000001100  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1326 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 23 tacID: 0 Tcoarse: F94E Ecoarse: 168 Tfine: 0280 Efine: 524 
0001101100011111111110010101100000010111001000101111111000001100  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1316 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 7 tacID: 3 Tcoarse: F958 Ecoarse: 172 Tfine: 0191 Efine: 524 
0001101110101100111110010101100000010111001000110001101000000000  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1316 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 43 tacID: 0 Tcoarse: F958 Ecoarse: 172 Tfine: 0198 Efine: 512 
0001101101101111111110010100011100010110000100101100011000001101  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1333 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 27 tacID: 3 Tcoarse: F947 Ecoarse: 161 Tfine: 0177 Efine: 525 
0001101100110100111110010101101000010111010000111011111000001100  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1314 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 13 tacID: 0 Tcoarse: F95A Ecoarse: 174 Tfine: 0239 Efine: 524 
0001101101011000111110010011100000010101001001010100001000000010  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1348 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 22 tacID: 0 Tcoarse: F938 Ecoarse: 152 Tfine: 0336 Efine: 514 
0001101100000011111110010101111100010111100100111110100111101111  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1309 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 0 tacID: 3 Tcoarse: F95F Ecoarse: 179 Tfine: 0250 Efine: 495 
0001101100101111111110010101111000010111100000110100010111111010  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1310 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 11 tacID: 3 Tcoarse: F95E Ecoarse: 178 Tfine: 0209 Efine: 506 
0001101111110010111110010001001000010010110001000111010111001111  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1386 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 60 tacID: 2 Tcoarse: F912 Ecoarse: 12C Tfine: 0285 Efine: 463 
0001101101101001111110010011011100010101000100101001000111001111  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1349 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 26 tacID: 1 Tcoarse: F937 Ecoarse: 151 Tfine: 0164 Efine: 463 
0001101110101011111110010011011000010101000000110010100111101010  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1350 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 42 tacID: 3 Tcoarse: F936 Ecoarse: 150 Tfine: 0202 Efine: 490 
0001101111000110111110010110000000010111101001000100100111010110  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1308 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 49 tacID: 2 Tcoarse: F960 Ecoarse: 17A Tfine: 0274 Efine: 470 
0001101100000010111110010011100100010101001101000110000111101100  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1347 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 0 tacID: 2 Tcoarse: F939 Ecoarse: 153 Tfine: 0280 Efine: 492 
0001101100101110111110010011011100010101000101000001100111110010  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1349 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 11 tacID: 2 Tcoarse: F937 Ecoarse: 151 Tfine: 0262 Efine: 498 
0001101110110111111110010000100100010010001101010011001000001110  DATA   : TIGER: 3 L1_TS - TIGERCOARSE_TS: 1395 LAST TIGER FRAME NUM[2:0]: 3 TIGER DATA: ChID [base10]: 45 tacID: 3 Tcoarse: F909 Ecoarse: 123 Tfine: 0332 Efine: 526 
1110000000001110100101100100010100110110000000000000000000000000  TRAILER: LOCAL L1  FRAMENUM [23:0]: 0074B2: GEMROC_ID: 05 TIGER_ID: 6 LOCAL L1 COUNT[2:0]: 6 LAST COUNT WORD FROM TIGER:CH_ID[5:0]: 00 LAST COUNT WORD FROM TIGER: DATA[17:0]: 00000 
0100100001010000000000000000000010100000000000000000000000000111  UDP_SEQNO: GEMROC_ID: 05 UDP_SEQNO_U48: 000000000007  STATUS BIT[5:3]:4

